oa_rank,title,year,doi,relevance_tier,optimizers,optimization_roles,solution_representation,VC_secret_sharing_schemes,color_models,share_generation_methods,reconstruction_methods,metrics,attacks_tests,statistical_tests,reproducibility_signals,novelty_threat,exact_architecture_overlap_score_0_100
77,A novel dynamic Optuna hybrid Harris Hawks Optimization approach for classification of CAD,2026.0,10.1371/journal.pone.0353605,METHOD,HHO; Binary HHO; PSO; GWO; GA; Differential Evolution,feature selection,binary/discrete,,RGB; grayscale,,,Contrast,,Wilcoxon; Friedman,data_available; random_seed; repeated_runs,LOW,35.6
6,Feature Selection and Classification of Microarray Datasets Based on an Improved Binary Harris Hawks Optimization Algorithm,2025.0,10.14569/ijacsa.2025.0160884,METHOD,HHO; Binary HHO; PSO; GA; WOA; Simulated Annealing; Differential Evolution,feature selection,binary/discrete,,,,,Entropy; Correlation; Execution time; Contrast,,,code_available; repeated_runs,LOW,33.3
4,Dynamic Complex Protein Detection using Binary Harris Hawks Optimization,2020.0,10.1088/1742-6596/1642/1/012019,METHOD,HHO; Binary HHO,feature selection,binary/discrete,,,,,Correlation; Contrast,,,,LOW,31.1
5,Smart Fraud Detection in E-Transactions Using Synthetic Minority Oversampling and Binary Harris Hawks Optimization,2023.0,10.32604/cmc.2023.036865,METHOD,HHO; Binary HHO; PSO; GWO; GA; Simulated Annealing; Differential Evolution; Aquila,feature selection,binary/discrete,,,,,Entropy; Contrast,,,,LOW,31.1
59,Hybrid Binary Grey Wolf With Harris Hawks Optimizer for Feature Selection,2021.0,10.1109/access.2021.3060096,METHOD,HHO; Binary HHO; PSO; GWO; GA; ALO; WOA; Tabu Search; Simulated Annealing,feature selection,binary/discrete; continuous,,,,,Correlation; Contrast,,Wilcoxon,repeated_runs,LOW,31.1
92,Integrated improved Harris hawks optimization for global and engineering optimization,2024.0,10.1038/s41598-024-58029-3,METHOD,HHO; Binary HHO; PSO; Differential Evolution; Sine Cosine,,binary/discrete,,,,,Entropy,,Wilcoxon,data_available; repeated_runs,LOW,31.1
97,EHHO-EL: Hybrid Method for Software defect Detection in Software Product Lines using Extended Harris Hawks Optimization and Ensemble Learning,,10.21203/rs.3.rs-5379879/v1,METHOD,HHO; Binary HHO; PSO; GWO; GA; WOA,feature selection,binary/discrete,,,,,Correlation; Execution time; Contrast,,,data_available; repeated_runs,LOW,31.1
3,Feature selection using binary Harris Hawks optimization algorithm to improve K-Means clustering,2025.0,10.19139/soic-2310-5070-2653,METHOD,HHO; Binary HHO; Bat; Differential Evolution,feature selection,binary/discrete,,,,,Execution time,,,random_seed,LOW,28.9
7,An efficient binary harris hawks optimization based on quantum SVM for cancer classification tasks,2022.0,10.1049/icp.2021.2680,METHOD,HHO; Binary HHO; PSO; GWO; WOA,feature selection,binary/discrete,,,,,Contrast,,,,LOW,28.9
9,An Efficient Binary Harris Hawks Optimization based on Quantum SVM for Cancer Classification Tasks,2022.0,,METHOD,HHO; Binary HHO; PSO; GWO; WOA,feature selection,binary/discrete,,,,,Contrast,,,,LOW,28.9
13,IHHO: an improved Harris Hawks optimization algorithm for solving engineering problems,2024.0,10.1007/s00521-024-09603-3,METHOD,HHO; Binary HHO; PSO; GWO; WOA; Bat; Differential Evolution; Aquila,feature selection,binary/discrete,,,,,Contrast,,Friedman,,LOW,28.9
14,Development and evaluation of hybrid harris hawks optimization algorithms for advanced engineering applications,2025.0,10.1038/s41598-025-23624-5,METHOD,HHO; Binary HHO; PSO; GWO; GA; WOA; Simulated Annealing; Differential Evolution; Sine Cosine; Aquila,feature selection,binary/discrete,,,,,Execution time; Contrast,,Wilcoxon,data_available; repeated_runs,LOW,28.9
41,Improved Harris Hawks Optimization Algorithm for Solving Real Engineering Optimization Problems,,10.21203/rs.3.rs-2503586/v1,METHOD,HHO; Binary HHO; PSO; Simulated Annealing,feature selection,binary/discrete,,,,,Contrast,,Friedman,,LOW,28.9
80,A prediction model for microseismic signals based on kernel extreme learning machine optimized by Harris Hawks algorithm,2025.0,10.1038/s41598-025-24211-4,METHOD,HHO; Binary HHO; PSO; WOA; Differential Evolution; Sine Cosine,feature selection,binary/discrete,,grayscale,,,Contrast; Histogram,,Wilcoxon; Friedman; ANOVA,data_available; repeated_runs,LOW,28.9
82,Computing Connected Resolvability of Graphs Using Binary Enhanced Harris Hawks Optimization,2023.0,10.32604/iasc.2023.032930,METHOD,HHO; Binary HHO; PSO; GA; Differential Evolution,feature selection,binary/discrete; continuous,,,,,Execution time,,,repeated_runs,LOW,28.9
95,An aseptic approach towards skin lesion localization and grading using deep learning and harris hawks optimization,2023.0,10.1007/s11042-023-16201-3,METHOD,HHO; Aquila,,binary/discrete,,RGB; grayscale,,,PSNR; MSE; Entropy; Correlation; Contrast,,,data_available; repeated_runs,LOW,28.9
15,Text encryption using Sosemanuk and Harris Hawks optimization by laser communication,2026.0,10.1038/s41598-026-49137-3,METHOD,HHO,S-box design,binary/discrete,,,steganography-assisted,XOR,Entropy; Correlation; Execution time; Contrast; Avalanche; Histogram; NIST; BER,,,data_available,LOW,26.7
45,A Novel Hybrid Harris Hawks Optimization for Color Image Multilevel Thresholding Segmentation,2019.0,10.1109/access.2019.2921545,METHOD,HHO; PSO; GWO; GA; ALO; WOA; Bat; Differential Evolution; Sine Cosine,threshold selection,binary/discrete,,RGB,,,PSNR; MSE; SSIM; Entropy; Contrast; Histogram,,Wilcoxon,code_available; repeated_runs,LOW,26.7
57,Infrared and visible image fusion using GAN with fuzzy logic and Harris Hawks optimization,2025.0,10.1038/s41598-025-29417-0,METHOD,HHO; PSO; GA,,binary/discrete,,RGB; grayscale,,,PSNR; MSE; SSIM; Entropy; Execution time; Contrast; Histogram,,,,LOW,26.7
69,A hybrid differential evolution based on gaining‑sharing knowledge algorithm and harris hawks optimization,2021.0,10.1371/journal.pone.0250951,METHOD,HHO; PSO; GA; WOA; Simulated Annealing; Differential Evolution,feature selection,binary/discrete,,,probabilistic,,Contrast,,Wilcoxon,data_available; repeated_runs,LOW,24.4
72,Audio Stegging using Evolutionary Algorithms,2023.0,10.21203/rs.3.rs-2799493/v1,METHOD,HHO; PSO; GA; WOA; Bat; Differential Evolution,key optimization,binary/discrete,,RGB; CMYK; grayscale,steganography-assisted,,PSNR; MSE; SSIM; Contrast; Histogram,,,,LOW,24.4
30,An Enhanced Medical Image Denoising Approach Using Harris Hawks Optimization Algorithm with Transform-Based Filtering,2026.0,10.55248/gengpi.07.0726.19107,METHOD,HHO; PSO; GA; Differential Evolution,threshold selection; image reconstruction,binary/discrete,,grayscale,,,PSNR; MSE; SSIM; Entropy; Correlation; Execution time,noise attack,Wilcoxon; t-test,random_seed,LOW,22.2
85,Segmentation of Brain MRI using an Altruistic Harris Hawks' Optimization algorithm,2021.0,10.1016/j.knosys.2021.107468,METHOD,HHO; PSO; GWO; GA; WOA; Sine Cosine,feature selection; threshold selection,binary/discrete,,grayscale,,,PSNR; MSE; SSIM; Entropy; Correlation; Contrast; Histogram,,,code_available,LOW,22.2
48,Influence Maximization in Social Networks using Discretized Harris Hawks Optimization Algorithm and Neighbour Scout Strategy,2022.0,10.48550/arxiv.2211.09683,METHOD,HHO; PSO; GWO; Bat; Simulated Annealing; Differential Evolution,,binary/discrete,,,,,Entropy; Correlation; Execution time,,Friedman,,LOW,20.0
56,Influence Maximization in Social Networks using Discretized Harris Hawks Optimization Algorithm and Neighbour Scout Strategy,2022.0,,METHOD,HHO; PSO; GWO; Bat; Simulated Annealing; Differential Evolution,,binary/discrete,,,,,Entropy; Correlation; Execution time,,Friedman,,LOW,20.0
63,Predicting Di-2-Ethylhexyl Phthalate Toxicity: Hybrid Integrated Harris Hawks Optimization With Support Vector Machines,2020.0,10.1109/access.2020.3020895,METHOD,HHO; PSO; GWO; GA; WOA; Simulated Annealing; Differential Evolution,feature selection,binary/discrete,,,,,Entropy; Correlation,,Wilcoxon; Friedman; t-test; ANOVA,,LOW,20.0
11,Multiobjective Economic/Environmental Dispatch Using Harris Hawks Optimization Algorithm,2023.0,10.32604/iasc.2023.028718,METHOD,HHO; PSO; GA; Differential Evolution,,binary/discrete,,,,,Correlation,,,repeated_runs,LOW,17.8
19,Development A Hybrid Model Based on Harris Hawks Optimization (HHO) Algorithm and Quantum Learning to Diagnosis of Prostate Cancer,2025.0,10.2339/politeknik.1611704,METHOD,HHO,feature selection,binary/discrete,,,,superposition/stacking,MSE; Entropy,,,data_available,LOW,17.8
36,AHHO: Arithmetic Harris Hawks Optimization algorithm for demand side management in smart grids,2023.0,10.1007/s43926-023-00028-3,METHOD,HHO; Dragonfly; PSO; GWO; GA; ALO; Bat; Differential Evolution; Sine Cosine,,binary/discrete,,,,,Entropy; Execution time,,,code_available,LOW,17.8
37,Hybrid Harris hawks optimization with cuckoo search for drug design and discovery in chemoinformatics,2020.0,10.1038/s41598-020-71502-z,METHOD,HHO; PSO; GWO; WOA; Differential Evolution; Sine Cosine,feature selection,binary/discrete,,,,,Correlation,,,repeated_runs,LOW,17.8
73,Parameter optimization of shared electric vehicle dispatching model using discrete Harris hawks optimization.,2022.0,10.3934/mbe.2022344,METHOD,HHO; PSO; GWO; GA; WOA; Bat; Differential Evolution,share optimization,binary/discrete,,,,,Entropy,,Wilcoxon; Friedman,,LOW,17.8
74,A hybrid algorithm of grey wolf optimizer and harris hawks optimization for solving global optimization problems with improved convergence performance,2023.0,10.1038/s41598-023-49754-2,METHOD,HHO; Dragonfly; PSO; GWO; WOA; Bat; Differential Evolution; Sine Cosine; Aquila,feature selection,binary/discrete,,,,,Entropy,,Wilcoxon,data_available; repeated_runs,LOW,17.8
75,An efficient hybrid classification approach for COVID-19 based on Harris Hawks Optimization and Salp Swarm Optimization,2022.0,10.3991/ijoe.v18i13.33195,METHOD,HHO; PSO; GWO; WOA; Tabu Search; Simulated Annealing,feature selection,binary/discrete,,,,,Correlation; Contrast,,,code_available,LOW,17.8
96,Optimizing deep learning with improved Harris Hawks optimization for Alzheimer’s disease detection,2025.0,10.1007/s10462-025-11304-9,METHOD,HHO; PSO; GWO; WOA; Bat; Differential Evolution; Sine Cosine,feature selection,binary/discrete,,,,,Entropy; Contrast,occlusion,Wilcoxon; Friedman,data_available,LOW,17.8
17,A hybrid parallel Harris hawks optimization algorithm for reusable launch vehicle reentry trajectory optimization with no-fly zones,2021.0,10.1007/s00500-021-06039-y,METHOD,HHO; PSO; GWO; GA; WOA; Simulated Annealing; Differential Evolution; Sine Cosine,feature selection,binary/discrete; continuous,,,,,Contrast,,Wilcoxon; Friedman,repeated_runs,LOW,15.6
18,A Hybrid Logistic Regression Model with Harris Hawks Optimization (HHO) Algorithm of Hypertension Determinants among Iraqi Adults,2026.0,10.33899/jes.v35i2.53624,METHOD,HHO; PSO,feature selection,binary/discrete,,,,,Contrast,,t-test,,LOW,15.6
21,Enhancing Harris Hawks Optimization Algorithm for Resource Allocation in Cloud Computing Environments,2024.0,10.14569/ijacsa.2024.0150362,METHOD,HHO; PSO; GWO; GA; Differential Evolution,,binary/discrete,,,,,Execution time,,,,LOW,15.6
22,Harmonic Overloading Minimization of Frequency-Dependent Components in Harmonics Polluted Distribution Systems Using Harris Hawks Optimization Algorithm,2019.0,10.1109/access.2019.2930831,METHOD,HHO; PSO; Tabu Search; Simulated Annealing; Differential Evolution,,binary/discrete,,,,,,,,repeated_runs,LOW,15.6
24,Implementation of Harris Hawks Optimization (HHO) algorithm to solve engineering problems,2021.0,10.5937/tehnika2104439m,METHOD,HHO; PSO; GWO; GA; ALO; Bat; Simulated Annealing; Differential Evolution,,binary/discrete,,,,,Execution time,,,,LOW,15.6
27,An efficient load balancing in cloud computing using hybrid Harris hawks optimization and cuckoo search algorithm,2023.0,10.19101/ijatee.2022.10100466,METHOD,HHO; Dragonfly; PSO; GWO; GA; WOA; Differential Evolution,,binary/discrete; continuous,,,,,Execution time; Contrast,,,,LOW,15.6
31,A Hybrid Parallel Harris Hawks Optimization Algorithm for Reusable Launch Vehicle Reentry Trajectory Optimization With No-fly Zones,,10.21203/rs.3.rs-554106/v1,METHOD,HHO; PSO; GWO; GA; WOA; Simulated Annealing; Differential Evolution; Sine Cosine,feature selection,binary/discrete; continuous,,,,,Contrast,,Wilcoxon; Friedman,repeated_runs,LOW,15.6
33,A New Hybrid Harris Hawks Optimization (HHO) and Particle Swarm Optimization (PSO) Algorithm for the Design of Castellated Beams,,10.21203/rs.3.rs-2608871/v1,METHOD,HHO; PSO; GWO; GA,,binary/discrete,,,,,,,,,LOW,15.6
35,Gender-based Alzheimer's detection using ResNet-50 and binary dragonfly algorithm on neuroimaging,2025.0,10.3389/frai.2025.1717913,METHOD,BDA; Simulated Annealing,feature selection,binary/discrete,,,,,Entropy; Correlation; Contrast,,,data_available,LOW,15.6
38,EEG-based epileptic seizure detection using binary dragonfly algorithm and deep neural network,2023.0,10.1038/s41598-023-44318-w,METHOD,BDA; Dragonfly; WOA; Simulated Annealing,feature selection,binary/discrete,,,,,Entropy; Correlation; Execution time,,ANOVA,data_available,LOW,15.6
52,Multi-Objective Harris Hawks Optimization Algorithm Based 2-Hop Routing Algorithm for CR-VANET,2021.0,10.1109/access.2021.3072922,METHOD,HHO; GA; WOA,,binary/discrete,,,,,Contrast,,,,LOW,15.6
54,A Hybrid Reinforcement Learning and Harris Hawks Optimization Framework for Multi-Objective Resource Management in IIoT,,10.21203/rs.3.rs-9522066/v1,METHOD,HHO; PSO; GA; WOA,,binary/discrete,,,,,Contrast,,,data_available,LOW,15.6
60,Improved Artificial Bee Colony Algorithm Based on Harris Hawks Optimization,2022.0,10.53106/160792642022032302016,METHOD,HHO; Dragonfly; PSO,,binary/discrete,,,,,Contrast,,Wilcoxon,,LOW,15.6
64,An Improved Harris Hawks Optimization Algorithm With Simulated Annealing for Feature Selection in the Medical Field,2020.0,10.1109/access.2020.3029728,METHOD,HHO; PSO; GWO; GA; WOA; Simulated Annealing,feature selection,binary/discrete,,,,,Contrast,,Wilcoxon,repeated_runs,LOW,15.6
71,Cooperative multi-population Harris Hawks optimization for many-objective optimization,2022.0,10.1007/s40747-022-00670-4,METHOD,HHO; PSO; GA; Differential Evolution,feature selection,binary/discrete,,,,,Contrast,,Wilcoxon,code_available,LOW,15.6
79,Multi-Neighborhood Enhanced Harris Hawks Optimization for Efficient Allocation of Hybrid Renewable Energy System with Cost and Emission Reduction,2025.0,10.32604/cmes.2025.064636,METHOD,HHO; PSO; GWO; GA; WOA; Tabu Search; Differential Evolution,key optimization,binary/discrete,,,,,Execution time; Contrast,,,data_available; repeated_runs,LOW,15.6
81,Harris Hawks Optimization for Optimum Design of Truss Structures with Discrete Variables,2021.0,10.33889/ijmems.2021.6.4.069,METHOD,HHO; PSO; GA; Simulated Annealing; Differential Evolution,,binary/discrete,,,,,,,,repeated_runs,LOW,15.6
83,Adaptive Hybrid Harris Hawks Optimization with Differential Evolution for Maximizing Network Lifetime under MDCCKC Constraints in Heterogeneous Wireless Sensor Networks,2026.0,10.18535/ijecs/v15i03.5472,METHOD,HHO; PSO; GA; Bat; Differential Evolution,,binary/discrete,,,,,,,,,LOW,15.6
86,Advances in Machine Learning for Explainable Intrusion Detection Using Imbalance Datasets in Cybersecurity with Harris Hawks Optimization,2026.0,10.32604/cmc.2025.068958,METHOD,HHO; GWO,feature selection,binary/discrete,,,,,Contrast,,,,LOW,15.6
88,Enhancing the multiple traveling salesman problem solutions through Harris Hawks optimization and machine learning techniques,2024.0,10.51252/rcsi.v4i2.745,METHOD,HHO; PSO; GA,,binary/discrete,,,,,,,Wilcoxon,repeated_runs,LOW,15.6
94,Enhanced harris hawks optimization based load frequency control of multi area microgrid based water treatment plant with consideration of 3DOF-(FO-PIDN)/(TIDN) controller,2024.0,10.3389/fenrg.2024.1387780,METHOD,HHO; PSO; GWO,,binary/discrete,,,,,,,,data_available,LOW,15.6
98,Improved Harris Hawks Optimization Based on Adaptive Cooperative Foraging and Dispersed Foraging Strategies,2020.0,10.1109/access.2020.3013332,METHOD,HHO; PSO; GWO; GA; Simulated Annealing; Differential Evolution,feature selection; threshold selection,binary/discrete,,,,,,,Wilcoxon,repeated_runs,LOW,15.6
100,IBDA: Improved Binary Dragonfly Algorithm With Evolutionary Population Dynamics and Adaptive Crossover for Feature Selection,2020.0,10.1109/access.2020.3001204,METHOD,BDA; Dragonfly; PSO; GWO; GA; WOA; Bat; Differential Evolution; Sine Cosine,feature selection; threshold selection,binary/discrete,,,,,Entropy; Correlation,,,,LOW,15.6
20,Optimized Wavelet-Based Satellite Image De-Noising With Multi-Population Differential Evolution-Assisted Harris Hawks Optimization Algorithm,2020.0,10.1109/access.2020.3010127,METHOD,HHO; PSO; WOA; Differential Evolution,feature selection,,,,,,PSNR; MSE,noise attack,,data_available; repeated_runs,LOW,13.3
32,Distributed denial-of-service (DDoS) on the smart grids based on VGG19 deep neural network and Harris Hawks optimization algorithm,2025.0,10.1038/s41598-025-03354-4,METHOD,HHO; PSO; Differential Evolution,feature selection,,,,,,Entropy; Contrast,,,data_available,LOW,13.3
47,Hybrid Aquila optimizer–Harris Hawks optimization for CNN hyperparameter tuning in brain tumor classification,2026.0,10.1038/s41598-026-43329-7,METHOD,HHO; PSO; GA; WOA; Aquila,feature selection,,,,,,Entropy; Execution time,,t-test,data_available; repeated_runs,LOW,13.3
55,PERBANDINGAN SUPPORT VECTOR MACHINE DAN DECISION TREE MENGGUNAKAN BINARY DRAGONFLY ALGORITHM PADA KLASIFIKASI INDEKS KHUSUS PENANGANAN STUNTING (IKPS) KABUPATEN/KOTA DI INDONESIA,2025.0,10.26740/mathunesa.v13n1.p236-245,METHOD,BDA; Dragonfly,feature selection,binary/discrete,,,,,Entropy,,,,LOW,13.3
58,Modified Harris Hawks optimization for the 3E feasibility assessment of a hybrid renewable energy system,2024.0,10.1038/s41598-024-70663-5,METHOD,HHO; PSO; GWO; WOA; Bat; Simulated Annealing; Differential Evolution; Sine Cosine,,,,,,,Entropy,,Wilcoxon; Friedman,data_available; repeated_runs,LOW,13.3
61,A hybrid Harris Hawks Optimization with Support Vector Regression for air quality forecasting,2025.0,10.1038/s41598-025-86275-6,METHOD,HHO; PSO; GWO; GA; WOA; Simulated Annealing; Differential Evolution; Aquila,feature selection,,,,,,MSE; Correlation; Contrast,,Friedman; ANOVA,repeated_runs,LOW,13.3
99,Harris Hawks Optimization for Soil Water Content Estimation in Ground-Penetrating Radar Waveform Inversion,2025.0,10.3390/rs17081436,METHOD,HHO; PSO; GWO,,,,,,,Correlation; Contrast,noise attack,,data_available,LOW,13.3
23,A mixed Harris hawks optimization algorithm based on the pinhole imaging strategy for solving numerical optimization problems,2023.0,10.1007/s11227-023-05260-w,METHOD,HHO; PSO; GWO; GA; ALO; WOA; Tabu Search; Simulated Annealing; Differential Evolution; Aquila,feature selection,,,,,,,,Wilcoxon,code_available; repeated_runs,LOW,11.1
28,Comparison of k-Nearest Neighbor and Support Vector Machine using Binary Dragonfly Algorithm Optimization,2024.0,10.32520/stmsi.v13i1.2953,METHOD,BDA; Dragonfly; PSO; Simulated Annealing,feature selection,binary/discrete,,,,,,,,,LOW,11.1
29,Modified Harris Hawks Optimization Algorithm with Multi-strategy for Global Optimization Problem,2023.0,10.53106/199115992023123406007,METHOD,HHO; PSO; GWO; GA; WOA; Bat; Simulated Annealing; Differential Evolution,feature selection,,,,,,Histogram; BER,,,,LOW,11.1
34,Optimizing the Steering of Driverless Personal Mobility Pods with a Novel Differential Harris Hawks Optimization Algorithm (DHHO) and Encoder Modeling,2024.0,10.3390/s24144650,METHOD,HHO; PSO; GWO; Simulated Annealing; Differential Evolution,,,,,,,MSE,,Wilcoxon; Friedman,code_available; data_available; repeated_runs,LOW,11.1
42,Optimasi Ukuran Penampang pada Struktur Rangka Batang Ruang dengan Binary Dragonfly Algorithm,2023.0,10.30737/jurmateks.v6i1.4709,METHOD,BDA; Dragonfly; Bat,feature selection,binary/discrete,,,,,,,,,LOW,11.1
43,Enhancing spam detection using Harris Hawks optimization algorithm,2025.0,10.12928/telkomnika.v23i2.26615,METHOD,HHO; PSO,feature selection,,,,,,,,,,LOW,11.1
46,Use Harris Hawks Optimization (HHO) Algorithm based on Artificial Neural Network for liver disease diagnosis,2024.0,10.58190/icisna.2024.81,METHOD,HHO; PSO; GA,feature selection,,,,,,MSE; Execution time; Contrast,,,data_available,LOW,11.1
49,Reconfiguration of a Radial Distribution System using the Harris Hawks Optimization Algorithm,2025.0,10.37394/23202.2025.24.17,METHOD,HHO; PSO; GWO; GA,feature selection,,,,,,,,,,LOW,11.1
53,HHO-LPWSN: Harris Hawks Optimization Algorithm for Sensor Nodes Localization Problem in Wireless Sensor Networks,2018.0,10.4108/eai.25-2-2021.168807,METHOD,HHO; PSO; GWO; Bat,,,,,,,Execution time,,,,LOW,11.1
62,Hybrid Harris Hawks optimization with eagle strategy particle swarm optimization for stability and disturbance rejection in tethered UAV systems,2025.0,10.1038/s41598-025-23522-w,METHOD,HHO; PSO; GWO; ALO,,,,,,,MSE; Contrast; Histogram,,,data_available,LOW,11.1
65,An Improved Harris Hawks Optimization (HHO) Algorithm,,10.21203/rs.3.rs-6379965/v1,METHOD,HHO; PSO; GWO; GA; WOA; Simulated Annealing; Sine Cosine,,,,,,,,,,,LOW,11.1
66,A mixed Harris hawks optimization algorithm based on the pinhole imaging strategy for solving numerical optimization problems,,10.21203/rs.3.rs-2293970/v1,METHOD,HHO; PSO; GWO; GA; ALO; WOA; Tabu Search; Simulated Annealing; Differential Evolution; Aquila,feature selection,,,,,,,,Wilcoxon,code_available; repeated_runs,LOW,11.1
70,Hybrid Binary Dragonfly Algorithm with Simulated Annealing for Feature Selection,2021.0,10.1007/s42979-021-00687-5,METHOD,BDA; Dragonfly; Simulated Annealing,feature selection,binary/discrete,,,,,,,,,LOW,11.1
76,HHO-UNet-IAA: Harris Hawks Optimization based novel UNet-inception attention architecture for glaucoma segmentation,2025.0,10.1007/s41870-025-02417-z,METHOD,HHO,,,,,,,,,,,LOW,11.1
84,Hybrid Algorithm of Grey Wolf Optimizer and Harris Hawks Optimization for Improving Convergence Performance,,10.21203/rs.3.rs-3320386/v1,METHOD,HHO; PSO; GWO; WOA; Differential Evolution; Sine Cosine; Aquila,,,,,,,,,Wilcoxon,data_available,LOW,11.1
