oa_rank,title,year,doi,relevance_tier,novelty_threat,exact_architecture_overlap_score_0_100,has_visual_cryptography,has_color_visual_cryptography,has_secret_sharing,uses_HHO,uses_binary_HHO,uses_BDA,uses_Dragonfly,uses_RGB,uses_2_2_scheme,uses_k_out_of_n,uses_random_grid,uses_probabilistic_shares,uses_XOR,uses_OR,mentions_pixel_expansion,uses_NPCR,uses_UACI,uses_PSNR,uses_entropy,uses_correlation,mentions_hybrid,mentions_multiobjective,binary_discrete_representation
3,Feature selection using binary Harris Hawks optimization algorithm to improve K-Means clustering,2025.0,10.19139/soic-2310-5070-2653,METHOD,LOW,28.9,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
7,An efficient binary harris hawks optimization based on quantum SVM for cancer classification tasks,2022.0,10.1049/icp.2021.2680,METHOD,LOW,28.9,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
9,An Efficient Binary Harris Hawks Optimization based on Quantum SVM for Cancer Classification Tasks,2022.0,,METHOD,LOW,28.9,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
13,IHHO: an improved Harris Hawks optimization algorithm for solving engineering problems,2024.0,10.1007/s00521-024-09603-3,METHOD,LOW,28.9,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
14,Development and evaluation of hybrid harris hawks optimization algorithms for advanced engineering applications,2025.0,10.1038/s41598-025-23624-5,METHOD,LOW,28.9,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
41,Improved Harris Hawks Optimization Algorithm for Solving Real Engineering Optimization Problems,,10.21203/rs.3.rs-2503586/v1,METHOD,LOW,28.9,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
80,A prediction model for microseismic signals based on kernel extreme learning machine optimized by Harris Hawks algorithm,2025.0,10.1038/s41598-025-24211-4,METHOD,LOW,28.9,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
82,Computing Connected Resolvability of Graphs Using Binary Enhanced Harris Hawks Optimization,2023.0,10.32604/iasc.2023.032930,METHOD,LOW,28.9,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
95,An aseptic approach towards skin lesion localization and grading using deep learning and harris hawks optimization,2023.0,10.1007/s11042-023-16201-3,METHOD,LOW,28.9,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True
15,Text encryption using Sosemanuk and Harris Hawks optimization by laser communication,2026.0,10.1038/s41598-026-49137-3,METHOD,LOW,26.7,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True
45,A Novel Hybrid Harris Hawks Optimization for Color Image Multilevel Thresholding Segmentation,2019.0,10.1109/access.2019.2921545,METHOD,LOW,26.7,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True
57,Infrared and visible image fusion using GAN with fuzzy logic and Harris Hawks optimization,2025.0,10.1038/s41598-025-29417-0,METHOD,LOW,26.7,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True
69,A hybrid differential evolution based on gaining‑sharing knowledge algorithm and harris hawks optimization,2021.0,10.1371/journal.pone.0250951,METHOD,LOW,24.4,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
72,Audio Stegging using Evolutionary Algorithms,2023.0,10.21203/rs.3.rs-2799493/v1,METHOD,LOW,24.4,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
30,An Enhanced Medical Image Denoising Approach Using Harris Hawks Optimization Algorithm with Transform-Based Filtering,2026.0,10.55248/gengpi.07.0726.19107,METHOD,LOW,22.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True
85,Segmentation of Brain MRI using an Altruistic Harris Hawks' Optimization algorithm,2021.0,10.1016/j.knosys.2021.107468,METHOD,LOW,22.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True
48,Influence Maximization in Social Networks using Discretized Harris Hawks Optimization Algorithm and Neighbour Scout Strategy,2022.0,10.48550/arxiv.2211.09683,METHOD,LOW,20.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
56,Influence Maximization in Social Networks using Discretized Harris Hawks Optimization Algorithm and Neighbour Scout Strategy,2022.0,,METHOD,LOW,20.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True
63,Predicting Di-2-Ethylhexyl Phthalate Toxicity: Hybrid Integrated Harris Hawks Optimization With Support Vector Machines,2020.0,10.1109/access.2020.3020895,METHOD,LOW,20.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
11,Multiobjective Economic/Environmental Dispatch Using Harris Hawks Optimization Algorithm,2023.0,10.32604/iasc.2023.028718,METHOD,LOW,17.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
19,Development A Hybrid Model Based on Harris Hawks Optimization (HHO) Algorithm and Quantum Learning to Diagnosis of Prostate Cancer,2025.0,10.2339/politeknik.1611704,METHOD,LOW,17.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
36,AHHO: Arithmetic Harris Hawks Optimization algorithm for demand side management in smart grids,2023.0,10.1007/s43926-023-00028-3,METHOD,LOW,17.8,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
37,Hybrid Harris hawks optimization with cuckoo search for drug design and discovery in chemoinformatics,2020.0,10.1038/s41598-020-71502-z,METHOD,LOW,17.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
73,Parameter optimization of shared electric vehicle dispatching model using discrete Harris hawks optimization.,2022.0,10.3934/mbe.2022344,METHOD,LOW,17.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
74,A hybrid algorithm of grey wolf optimizer and harris hawks optimization for solving global optimization problems with improved convergence performance,2023.0,10.1038/s41598-023-49754-2,METHOD,LOW,17.8,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
75,An efficient hybrid classification approach for COVID-19 based on Harris Hawks Optimization and Salp Swarm Optimization,2022.0,10.3991/ijoe.v18i13.33195,METHOD,LOW,17.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True
96,Optimizing deep learning with improved Harris Hawks optimization for Alzheimer’s disease detection,2025.0,10.1007/s10462-025-11304-9,METHOD,LOW,17.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
17,A hybrid parallel Harris hawks optimization algorithm for reusable launch vehicle reentry trajectory optimization with no-fly zones,2021.0,10.1007/s00500-021-06039-y,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
18,A Hybrid Logistic Regression Model with Harris Hawks Optimization (HHO) Algorithm of Hypertension Determinants among Iraqi Adults,2026.0,10.33899/jes.v35i2.53624,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
21,Enhancing Harris Hawks Optimization Algorithm for Resource Allocation in Cloud Computing Environments,2024.0,10.14569/ijacsa.2024.0150362,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
22,Harmonic Overloading Minimization of Frequency-Dependent Components in Harmonics Polluted Distribution Systems Using Harris Hawks Optimization Algorithm,2019.0,10.1109/access.2019.2930831,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
24,Implementation of Harris Hawks Optimization (HHO) algorithm to solve engineering problems,2021.0,10.5937/tehnika2104439m,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
27,An efficient load balancing in cloud computing using hybrid Harris hawks optimization and cuckoo search algorithm,2023.0,10.19101/ijatee.2022.10100466,METHOD,LOW,15.6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
31,A Hybrid Parallel Harris Hawks Optimization Algorithm for Reusable Launch Vehicle Reentry Trajectory Optimization With No-fly Zones,,10.21203/rs.3.rs-554106/v1,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
33,A New Hybrid Harris Hawks Optimization (HHO) and Particle Swarm Optimization (PSO) Algorithm for the Design of Castellated Beams,,10.21203/rs.3.rs-2608871/v1,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
35,Gender-based Alzheimer's detection using ResNet-50 and binary dragonfly algorithm on neuroimaging,2025.0,10.3389/frai.2025.1717913,METHOD,LOW,15.6,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
38,EEG-based epileptic seizure detection using binary dragonfly algorithm and deep neural network,2023.0,10.1038/s41598-023-44318-w,METHOD,LOW,15.6,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
52,Multi-Objective Harris Hawks Optimization Algorithm Based 2-Hop Routing Algorithm for CR-VANET,2021.0,10.1109/access.2021.3072922,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
54,A Hybrid Reinforcement Learning and Harris Hawks Optimization Framework for Multi-Objective Resource Management in IIoT,,10.21203/rs.3.rs-9522066/v1,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
60,Improved Artificial Bee Colony Algorithm Based on Harris Hawks Optimization,2022.0,10.53106/160792642022032302016,METHOD,LOW,15.6,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
64,An Improved Harris Hawks Optimization Algorithm With Simulated Annealing for Feature Selection in the Medical Field,2020.0,10.1109/access.2020.3029728,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
71,Cooperative multi-population Harris Hawks optimization for many-objective optimization,2022.0,10.1007/s40747-022-00670-4,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
79,Multi-Neighborhood Enhanced Harris Hawks Optimization for Efficient Allocation of Hybrid Renewable Energy System with Cost and Emission Reduction,2025.0,10.32604/cmes.2025.064636,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
81,Harris Hawks Optimization for Optimum Design of Truss Structures with Discrete Variables,2021.0,10.33889/ijmems.2021.6.4.069,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
83,Adaptive Hybrid Harris Hawks Optimization with Differential Evolution for Maximizing Network Lifetime under MDCCKC Constraints in Heterogeneous Wireless Sensor Networks,2026.0,10.18535/ijecs/v15i03.5472,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
86,Advances in Machine Learning for Explainable Intrusion Detection Using Imbalance Datasets in Cybersecurity with Harris Hawks Optimization,2026.0,10.32604/cmc.2025.068958,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
88,Enhancing the multiple traveling salesman problem solutions through Harris Hawks optimization and machine learning techniques,2024.0,10.51252/rcsi.v4i2.745,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
94,Enhanced harris hawks optimization based load frequency control of multi area microgrid based water treatment plant with consideration of 3DOF-(FO-PIDN)/(TIDN) controller,2024.0,10.3389/fenrg.2024.1387780,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
98,Improved Harris Hawks Optimization Based on Adaptive Cooperative Foraging and Dispersed Foraging Strategies,2020.0,10.1109/access.2020.3013332,METHOD,LOW,15.6,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
100,IBDA: Improved Binary Dragonfly Algorithm With Evolutionary Population Dynamics and Adaptive Crossover for Feature Selection,2020.0,10.1109/access.2020.3001204,METHOD,LOW,15.6,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
20,Optimized Wavelet-Based Satellite Image De-Noising With Multi-Population Differential Evolution-Assisted Harris Hawks Optimization Algorithm,2020.0,10.1109/access.2020.3010127,METHOD,LOW,13.3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
32,Distributed denial-of-service (DDoS) on the smart grids based on VGG19 deep neural network and Harris Hawks optimization algorithm,2025.0,10.1038/s41598-025-03354-4,METHOD,LOW,13.3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
47,Hybrid Aquila optimizer–Harris Hawks optimization for CNN hyperparameter tuning in brain tumor classification,2026.0,10.1038/s41598-026-43329-7,METHOD,LOW,13.3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
55,PERBANDINGAN SUPPORT VECTOR MACHINE DAN DECISION TREE MENGGUNAKAN BINARY DRAGONFLY ALGORITHM PADA KLASIFIKASI INDEKS KHUSUS PENANGANAN STUNTING (IKPS) KABUPATEN/KOTA DI INDONESIA,2025.0,10.26740/mathunesa.v13n1.p236-245,METHOD,LOW,13.3,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True
58,Modified Harris Hawks optimization for the 3E feasibility assessment of a hybrid renewable energy system,2024.0,10.1038/s41598-024-70663-5,METHOD,LOW,13.3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
61,A hybrid Harris Hawks Optimization with Support Vector Regression for air quality forecasting,2025.0,10.1038/s41598-025-86275-6,METHOD,LOW,13.3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
99,Harris Hawks Optimization for Soil Water Content Estimation in Ground-Penetrating Radar Waveform Inversion,2025.0,10.3390/rs17081436,METHOD,LOW,13.3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
23,A mixed Harris hawks optimization algorithm based on the pinhole imaging strategy for solving numerical optimization problems,2023.0,10.1007/s11227-023-05260-w,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
28,Comparison of k-Nearest Neighbor and Support Vector Machine using Binary Dragonfly Algorithm Optimization,2024.0,10.32520/stmsi.v13i1.2953,METHOD,LOW,11.1,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
29,Modified Harris Hawks Optimization Algorithm with Multi-strategy for Global Optimization Problem,2023.0,10.53106/199115992023123406007,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
34,Optimizing the Steering of Driverless Personal Mobility Pods with a Novel Differential Harris Hawks Optimization Algorithm (DHHO) and Encoder Modeling,2024.0,10.3390/s24144650,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
42,Optimasi Ukuran Penampang pada Struktur Rangka Batang Ruang dengan Binary Dragonfly Algorithm,2023.0,10.30737/jurmateks.v6i1.4709,METHOD,LOW,11.1,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
43,Enhancing spam detection using Harris Hawks optimization algorithm,2025.0,10.12928/telkomnika.v23i2.26615,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
46,Use Harris Hawks Optimization (HHO) Algorithm based on Artificial Neural Network for liver disease diagnosis,2024.0,10.58190/icisna.2024.81,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
49,Reconfiguration of a Radial Distribution System using the Harris Hawks Optimization Algorithm,2025.0,10.37394/23202.2025.24.17,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
53,HHO-LPWSN: Harris Hawks Optimization Algorithm for Sensor Nodes Localization Problem in Wireless Sensor Networks,2018.0,10.4108/eai.25-2-2021.168807,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,Hybrid Harris Hawks optimization with eagle strategy particle swarm optimization for stability and disturbance rejection in tethered UAV systems,2025.0,10.1038/s41598-025-23522-w,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
65,An Improved Harris Hawks Optimization (HHO) Algorithm,,10.21203/rs.3.rs-6379965/v1,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
66,A mixed Harris hawks optimization algorithm based on the pinhole imaging strategy for solving numerical optimization problems,,10.21203/rs.3.rs-2293970/v1,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
70,Hybrid Binary Dragonfly Algorithm with Simulated Annealing for Feature Selection,2021.0,10.1007/s42979-021-00687-5,METHOD,LOW,11.1,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
76,HHO-UNet-IAA: Harris Hawks Optimization based novel UNet-inception attention architecture for glaucoma segmentation,2025.0,10.1007/s41870-025-02417-z,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,Hybrid Algorithm of Grey Wolf Optimizer and Harris Hawks Optimization for Improving Convergence Performance,,10.21203/rs.3.rs-3320386/v1,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
87,Aware Node Localization in Wireless Sensor Networks Using Harris Hawks Optimization,2025.0,10.26636/jtit.2025.4.2285,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
91,Optimal Placement of DGs in Distribution System Using an Improved Harris Hawks Optimizer Based on Single- and Multi-Objective Approaches,2020.0,10.1109/access.2020.2980245,METHOD,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
25,Correction to: A hybrid parallel Harris hawks optimization algorithm for reusable launch vehicle reentry trajectory optimization with no-fly zones,2021.0,10.1007/s00500-021-06287-y,EXCLUDE,LOW,11.1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
50,WITHDRAWN: Energy-efficient Clustering Protocol Using an Improved Binary Dragonfly Algorithm and Mamdani Fuzzy Inference System in Wireless Sensor Networks,,10.21203/rs.3.rs-3972159/v1,EXCLUDE,LOW,11.1,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True
2,Retraction Note: EEG channel selection in CIT: a binary Harris Hawks optimization using a time-varying transfer function,2024.0,10.1007/s00500-024-10101-w,EXCLUDE,LOW,4.4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
