label,page,matched_text,snippet,oa_rank,title,doi,relevance_tier,novelty_threat,local_pdf
metric:SSIM,1,structural similarity,"were used to evaluate the encryption methods. These tests included histogram test, correlation test, entropy test, mean squared error, peak signal-to-noise ratio, unified average changing intensity, normalized pixel difference rate, and structural similarity index. The experiments showed that the suggested encryption method significantly improved all these tests. The computed information entropy value of 7.998 is quite near the ideal value of 8, indicating a high level of randomness. Further",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
metric:NPCR,1,NPCR,"antly improved all these tests. The computed information entropy value of 7.998 is quite near the ideal value of 8, indicating a high level of randomness. Further evidence of solid encryption was provided by a UACI value of 33.979 and an NPCR greater than 99.60%. The effectiveness of the decryption method was also verified. Keywords: Data Security, Image Encryption, Artificial Intelligence, Nature-inspired Optimization, Serpent Algorithm, Sponge Function, SHA-3, Harris Hawks",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
metric:UACI,1,UACI,"encryption method significantly improved all these tests. The computed information entropy value of 7.998 is quite near the ideal value of 8, indicating a high level of randomness. Further evidence of solid encryption was provided by a UACI value of 33.979 and an NPCR greater than 99.60%. The effectiveness of the decryption method was also verified. Keywords: Data Security, Image Encryption, Artificial Intelligence, Nature-inspired Optimization, Serpent Algorithm, Sponge F",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
metric:Entropy,1,entropy,"tional Institute of Standards and Technology successfully surpassed the fitness of the proposed keys generator. Several analytical tests were used to evaluate the encryption methods. These tests included histogram test, correlation test, entropy test, mean squared error, peak signal-to-noise ratio, unified average changing intensity, normalized pixel difference rate, and structural similarity index. The experiments showed that the suggested encryption method significantly impro",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
metric:Correlation,1,correlation,"rd tests of the National Institute of Standards and Technology successfully surpassed the fitness of the proposed keys generator. Several analytical tests were used to evaluate the encryption methods. These tests included histogram test, correlation test, entropy test, mean squared error, peak signal-to-noise ratio, unified average changing intensity, normalized pixel difference rate, and structural similarity index. The experiments showed that the suggested encryption method signi",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
metric:Execution time,12,encryption time,"T Statistical Test Suite. 5.1. Runtime Tests Table 1 below shows the time to encrypt and decrypt the four analyzed images. Furthermore, the dimensions and sizes of the image are given in kilobytes. This makes it possible to compare the encryption time with the decryption time on each image separately. Table 1: Runtime Tests Images Image-Dim Image Size in Kb Encryption (sec) Decryption (sec) Baboon 64*64 8 KB 3.099 3.219 Peppers 128*128 16 KB 3.514 3.622 Cat 256*256 29 KB",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
metric:Pixel expansion,3,pixel expansion,"ption. The authors in (Ibrahim et al., 2023) presented a new computationally efficient approach for a color visual cryptographic scheme using HHO algorithm. This method reduces commonly experienced issues in visual cryptography, such as pixel expansion and relatively low decryption quality, due to the choice of the color levels of the shares. The outcome reveals that the proposed approach improves image quality, encryption security, and computational speed. It yields better results tha",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
metric:Key space,4,key space,"red version of the Serpent algorithm for image encryption, including Power Associative loops and Mobius transformation to enhance S-box security. Accordingly, the new scheme enhances complexity and randomness in encryption with a larger key space than traditional Galois Field-based cryptosystems, enhancing robustness against cryptanalytic attacks. A comprehensive analysis involving key sensitivity, correlation, and differential analysis justifies the strength and efficiency of th",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
metric:Histogram,1,histogram,"on, five standard tests of the National Institute of Standards and Technology successfully surpassed the fitness of the proposed keys generator. Several analytical tests were used to evaluate the encryption methods. These tests included histogram test, correlation test, entropy test, mean squared error, peak signal-to-noise ratio, unified average changing intensity, normalized pixel difference rate, and structural similarity index. The experiments showed that the suggested encryp",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
metric:NIST,12,NIST Statistical,"e test, statistical test, differential test, and image cipher quality. The statistical evaluation techniques explain the histogram test and the correlation of nearby pixels. The randomness of the created test data was evaluated using the NIST Statistical Test Suite. 5.1. Runtime Tests Table 1 below shows the time to encrypt and decrypt the four analyzed images. Furthermore, the dimensions and sizes of the image are given in kilobytes. This makes it possible to compare the encryption ti",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
attack:differential attack,3,differential attack,"n between adjacent pixels to yield a highly encrypted image. Hence, it would improve the quality of encryption. It is highly effective in yielding excellent encryption performance regarding pixel distribution, entropy, and resistance to differential attack. Simulation results on benchmark test images prove that the proposed scheme generated flatter histograms with higher entropy values closer to the ideal value of 8 and very good NPCR and UACI scores, demonstrating its robustness in securi",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
attack:tampering,2,tamper,"ta, 2024). Nevertheless, various suitable encryption schemes have been proposed, such as DNA coding, chaotic systems, and compressing sensing (Omran et al., 2024). Image encryption protects digital images against unauthorized access and tampering by rendering them unintelligible without a key for decryption. Indeed, encryption algorithms jumble up the data in an image and protect confidentiality and integrity during transmission or storage (Paul et al., 2020). The commonly us",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
attack:brute-force,4,brute force,"peed and reduce the processing time by over 60%. It has also proven to resist statistical and differential attacks, while the correlation coefficients are close to zero and the NPCR and UACI values are increased. Keyspace is expanded, so brute force attack is improbable. The authors in (Hussain et al., 2023) presented a re-engineered version of the Serpent algorithm for image encryption, including Power Associative loops and Mobius transformation to enhance S-box security. Accordin",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
fitness_objective,9,fitness function,"e hunting of Harris Hawks, makes such candidate keys converge toward the one that offers the optimal security of the image encryption. The optimization process allows the probability distribution of variables to be initiated with random keys. These keys are then utilized to encrypt the target image by employing the modified serpent algorithm. A fitness function is used to measure the quality of each key. In the optimization, HHO adopts different hunting styles of hawks, including soft and hard besiege, to update the keys concerning their fitness score. Subsequent iterations to find the best keys occur until the algorithm approximates a set of keys that best provide enhanced encryption, as...",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
reported_result,3,PSNR=6.0010,"t the proposed approach improves image quality, encryption security, and computational speed. It yields better results than other benchmark values of NPCR=99.90, UACI=32.00, and PSNR=6.0010. The authors in (Ahmad et al., 2018) proposed an optimized image encryption based on particle swarm optimization (PSO) and chaotic logistic map, in which the optimized parameter",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
reported_result,14,"PSNR), and structural similarity index (SSIM) as shown in Table 6","es for comparing the quality of an encrypted and the original image include cipher image quality assessment measures such as mean squared error (MSE), peak signal-to-noise ratio (PSNR), and structural similarity index (SSIM) as shown in Table 6. Encryption produces significant distortion where its comprehension remains unfazed; thus, these tests are essential. Table 6: Cipher Image Quality Tests of the Proposed Method",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
reported_result,14,PSNR SSIM Baboon 105.840901,"produces significant distortion where its comprehension remains unfazed; thus, these tests are essential. Table 6: Cipher Image Quality Tests of the Proposed Method Image MSE PSNR SSIM Baboon 105.840901 27.884268 0.023399 Peppers 105.250081 27.908579 0.014137 Cat 106.885904 27.841599 0.014930 Dog 104.775309 27.928214 0.021477 5.5. NIST Tests The National Institute o",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
reported_result,14,MSE PSNR SSIM Baboon 105.840901,"tion produces significant distortion where its comprehension remains unfazed; thus, these tests are essential. Table 6: Cipher Image Quality Tests of the Proposed Method Image MSE PSNR SSIM Baboon 105.840901 27.884268 0.023399 Peppers 105.250081 27.908579 0.014137 Cat 106.885904 27.841599 0.014930 Dog 104.775309 27.928214 0.021477 5.5. NIST Tests The National Institute",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
reported_result,14,SSIM Baboon 105.840901,"es significant distortion where its comprehension remains unfazed; thus, these tests are essential. Table 6: Cipher Image Quality Tests of the Proposed Method Image MSE PSNR SSIM Baboon 105.840901 27.884268 0.023399 Peppers 105.250081 27.908579 0.014137 Cat 106.885904 27.841599 0.014930 Dog 104.775309 27.928214 0.021477 5.5. NIST Tests The National Institute",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
reported_result,1,NPCR greater than 99.60%,"ropy value of 7.998 is quite near the ideal value of 8, indicating a high level of randomness. Further evidence of solid encryption was provided by a UACI value of 33.979 and an NPCR greater than 99.60%. The effectiveness of the decryption method was also verified. Keywords: Data Security, Image Encryption, Artificial Intelligence, Nature-inspired Optimization, Serpent Algorit",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
reported_result,1,UACI value of 33.979 and an NPCR greater than 99.60%,"The computed information entropy value of 7.998 is quite near the ideal value of 8, indicating a high level of randomness. Further evidence of solid encryption was provided by a UACI value of 33.979 and an NPCR greater than 99.60%. The effectiveness of the decryption method was also verified. Keywords: Data Security, Image Encryption, Artificial Intelligence, Nature-inspired Optimization, Serpent Algorit",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
reported_result,1,entropy value of 7.998,"el difference rate, and structural similarity index. The experiments showed that the suggested encryption method significantly improved all these tests. The computed information entropy value of 7.998 is quite near the ideal value of 8, indicating a high level of randomness. Further evidence of solid encryption was provided by a UACI value of 33.979 and an NPCR greater than 9",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
reported_result,3,entropy values closer to the ideal value of 8,"distribution, entropy, and resistance to differential attack. Simulation results on benchmark test images prove that the proposed scheme generated flatter histograms with higher entropy values closer to the ideal value of 8 and very good NPCR and UACI scores, demonstrating its robustness in security. The authors in (Elshoush et al., 2021) proposed a more secure method of encrypting RGB images than",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
reported_result,4,"entropy while keeping fast execution times. The authors in (Tahiri et al., 2023","fferential analysis justifies the strength and efficiency of the proposed approach. The technique achieves much better security performance regarding NPCR, UACI, and information entropy while keeping fast execution times. The authors in (Tahiri et al., 2023) presented a new RGB image encryption method by incorporating spatial and transformation approaches through the modified 3D fractional Henon map and discrete fractional Krawtcho",1,Image Encryption Using Modified Serpent Algorithm and Harris Hawks Optimization,10.58346/jowua.2025.i1.009,CORE,HIGH,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\001_2025_Image_Encryption_Using_Modified_Serpent_Algorithm_and_Harris_Hawks_Optimization.pdf
metric:BER,1,ber,"0 The publisher has retracted this article in agreement with the Editor-in-Chief. The article was submitted to be part of a guest-edited issue. An investigation by the publisher found a number of articles, including this one, with a num ber of concerns, including but not limited to compromised editorial handling and peer review process, inappropriate or irrelevant references or not being in scope of the journal or guest-edited issue. Based on the investigation’s findings t",2,Retraction Note: EEG channel selection in CIT: a binary Harris Hawks optimization using a time-varying transfer function,10.1007/s00500-024-10101-w,EXCLUDE,LOW,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\002_2024_Retraction_Note_EEG_channel_selection_in_CIT_a_binary_Harris_Hawks_optimization_using_a_time-varying_transfer_function.pdf
optimizer:HHO,1,Harris Hawks Optimization,"STATISTICS, OPTIMIZATION AND INFORMATION COMPUTING Stat., Optim. Inf. Comput., Vol. 14, October 2025, pp 1909–1917. Published online in International Academic Press (www.IAPress.org) Feature Selection Using Binary Harris Hawks Optimization Algorithm to Improve K-Means Clustering Shaymaa Haleem Ibrahem 1, Ammar Saad Abduljabbar 2,*, Omar Saber Qasim 2 1Department of Arts, Mosul University, Iraq 2Department of Mathematics, Mosul University, Iraq Abstract This study aims to exp",3,Feature selection using binary Harris Hawks optimization algorithm to improve K-Means clustering,10.19139/soic-2310-5070-2653,METHOD,LOW,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\003_2025_Feature_selection_using_binary_Harris_Hawks_optimization_algorithm_to_improve_K-Means_clustering.pdf
optimizer:HHO,1,Harris Hawks Optimization,"aq 2Department of Mathematics, Mosul University, Iraq Abstract This study aims to explore the suitability of adopting K-means clustering for the categorization of five disaggregate datasets that undergo feature selection employing a Binary Harris Hawks Optimization Algorithm (BHHOA). First, a feature selection technique is applied using BHHOA to identify the most important features from each dataset prior to executing dimensionality reduction and enhancing the quality of the collected data. In the ne",3,Feature selection using binary Harris Hawks optimization algorithm to improve K-Means clustering,10.19139/soic-2310-5070-2653,METHOD,LOW,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\003_2025_Feature_selection_using_binary_Harris_Hawks_optimization_algorithm_to_improve_K-Means_clustering.pdf
optimizer:Binary HHO,1,Binary Harris Hawks Optimization,"STATISTICS, OPTIMIZATION AND INFORMATION COMPUTING Stat., Optim. Inf. Comput., Vol. 14, October 2025, pp 1909–1917. Published online in International Academic Press (www.IAPress.org) Feature Selection Using Binary Harris Hawks Optimization Algorithm to Improve K-Means Clustering Shaymaa Haleem Ibrahem 1, Ammar Saad Abduljabbar 2,*, Omar Saber Qasim 2 1Department of Arts, Mosul University, Iraq 2Department of Mathematics, Mosul University, Iraq Abstract This study aims to exp",3,Feature selection using binary Harris Hawks optimization algorithm to improve K-Means clustering,10.19139/soic-2310-5070-2653,METHOD,LOW,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\003_2025_Feature_selection_using_binary_Harris_Hawks_optimization_algorithm_to_improve_K-Means_clustering.pdf
optimizer:Binary HHO,1,Binary Harris Hawks Optimization,"ity, Iraq 2Department of Mathematics, Mosul University, Iraq Abstract This study aims to explore the suitability of adopting K-means clustering for the categorization of five disaggregate datasets that undergo feature selection employing a Binary Harris Hawks Optimization Algorithm (BHHOA). First, a feature selection technique is applied using BHHOA to identify the most important features from each dataset prior to executing dimensionality reduction and enhancing the quality of the collected data. In the ne",3,Feature selection using binary Harris Hawks optimization algorithm to improve K-Means clustering,10.19139/soic-2310-5070-2653,METHOD,LOW,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\003_2025_Feature_selection_using_binary_Harris_Hawks_optimization_algorithm_to_improve_K-Means_clustering.pdf
optimizer:Bat,8,bat algorithm,"real-world applications, such as medical image processing and remote sensing, to effectively address high-dimensional and noisy data, thereby enhancing clustering efficacy. REFERENCES 1. B. Yang, et al., Feature selection based on modified bat algorithm, IEICE TRANSACTIONS on Information and Systems, vol. 100, no. 8, pp. 1860–1869, 2017. Stat., Optim. Inf. Comput. Vol. 14, October 2025",3,Feature selection using binary Harris Hawks optimization algorithm to improve K-Means clustering,10.19139/soic-2310-5070-2653,METHOD,LOW,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\003_2025_Feature_selection_using_binary_Harris_Hawks_optimization_algorithm_to_improve_K-Means_clustering.pdf
optimizer:Differential Evolution,9,differential evolution,", pp. 147463–147470, 2020. 10. A. Bouguettaya, et al., Efficient agglomerative hierarchical clustering, Expert Systems with Applications, vol. 42, no. 5, pp. 2785– 2797, 2015. 11. L. Abualigah, et al., Hybrid Harris hawks optimization with differential evolution for data clustering, in Metaheuristics in machine learning: theory and applications, Springer, pp. 267–299, 2021. 12. C. Qu, et al., Harris Hawks optimization with information exchange, Applied Mathematical Modelling, vol. 84, pp. 52–75, 2",3,Feature selection using binary Harris Hawks optimization algorithm to improve K-Means clustering,10.19139/soic-2310-5070-2653,METHOD,LOW,D:\48\481\New Papers\BDA_To_HHO_paper\Outputs\Top_100_OA_Papers\003_2025_Feature_selection_using_binary_Harris_Hawks_optimization_algorithm_to_improve_K-Means_clustering.pdf
